,Text,Verified,Protected,Location,Followers,VerifiedRetweet,Source,NumTweetChars
73,"NAIL: A General Interactive Fiction Agent. #BigData #Analytics #MachineLearning #DataScience #AI #IoT #IIoT #Python #RStats #TensorFlow #Java #JavaScript #ReactJS #VueJS #GoLang #CloudComputing #Serverless #DataScientist #Linux #ReinforcementLearning 
https://t.co/YANQUbspfg https://t.co/S3afGATm3i",FALSE,FALSE,YES,0,FALSE,Twitter for Android,299
74,"Dive into #DeepLearning, Berkeley STAT 157 (Spring 2019) Textbook [Math + Code + Discussions]. #BigData #Analytics #MachineLearning #DataScience #AI #IoT #IIoT #Python #RStats #JavaScript #ReactJS #VueJS #GoLang #Serverless #DataScientist #Linux #Books 
https://t.co/XxIFsV80r1 https://t.co/A5p4E4GFWu",FALSE,FALSE,YES,0,FALSE,Twitter for Android,301
75,"Dreaming Neural Networks. #BigData #Analytics #MachineLearning #DataScience #AI #IoT #IIoT #Python #RStats #Java #JavaScript #ReactJS #VueJS #GoLang #Serverless #DataScientist #Linux 
https://t.co/h091xWpZbf https://t.co/TR5dG5ESCX",FALSE,FALSE,NO,0,FALSE,Twitter Web App,231
76,"#MachineLearning with #Python, #Jupyter, #KSQL, and #TensorFlow. #BigData #Analytics #DataScience #AI #IoT #IIoT #RStats #Java #JavaScript #ReactJS #VueJS #CloudComputing #DataScientist #Serverless #Linux
https://t.co/HyQ93KKD0G https://t.co/CmT05wpwt1",FALSE,FALSE,NO,0,FALSE,Twitter Web App,252
77,"NAIL: A General Interactive Fiction Agent. #BigData #Analytics #MachineLearning #DataScience #AI #IoT #IIoT #Python #RStats #TensorFlow #Java #JavaScript #ReactJS #VueJS #GoLang #CloudComputing #Serverless #DataScientist #Linux #ReinforcementLearning 
https://t.co/YANQUbspfg https://t.co/S3afGATm3i",FALSE,FALSE,NO,0,FALSE,Twitter Web App,299
78,"Challenging Common Assumptions in Disentangled Representations. #BigData #Analytics #MachineLearning #DataScience #AI #IoT #IIoT #Python #RStats #TensorFlow #Java #JavaScript #ReactJS #VueJS #GoLang #CloudComputing #Serverless #DataScientist #Linux 
https://t.co/27mtbTv9B0 https://t.co/YN4CGCov9L",FALSE,FALSE,NO,0,FALSE,Twitter Web App,297
79,"The Complete Guide to the ELK Stack. #BigData #Analytics #NoSQL #Redis #MachineLearning #DataScience #AI #ApacheKafka #Kibana #RabbitMQ #ElasticSearch #IoT #IIoT #Python #RStats #JavaScript #ReactJS #VueJS #GoLang #Serverless #DataScientist #Linux 
https://t.co/PR3JMZGRYN https://t.co/m7fqfACPCy",FALSE,FALSE,NO,0,FALSE,Twitter Web App,296
80,"Dive into #DeepLearning, Berkeley STAT 157 (Spring 2019) Textbook [Math + Code + Discussions]. #BigData #Analytics #MachineLearning #DataScience #AI #IoT #IIoT #Python #RStats #JavaScript #ReactJS #VueJS #GoLang #Serverless #DataScientist #Linux #Books 
https://t.co/XxIFsV80r1 https://t.co/A5p4E4GFWu",FALSE,FALSE,NO,0,FALSE,Twitter Web App,301
81,"Gluon CV Toolkit. #BigData #Analytics #MachineLearning #DataScience #IoT #IIoT #Python #RStats #TensorFlow #Java #JavaScript #ReactJS #VueJS #GoLang #CloudComputing #Serverless #DataScientist #Linux 
https://t.co/dFM5kPa0kW https://t.co/4NM9n9zEn0",FALSE,FALSE,NO,0,FALSE,Twitter Web App,247
82,"Neural Quantum States. #BigData #Analytics #MachineLearning #DataScience #AI #IoT #IIoT #Python #RStats #Java #JavaScript #ReactJS #VueJS #GoLang #Serverless #DataScientist #Linux 
https://t.co/tdZUVbULor https://t.co/ghIIEhieRa",FALSE,FALSE,NO,0,FALSE,Twitter Web App,228
