"","V1","V2","V3","V4","V5","V6"
"205","FALSE","FALSE","Toronto, Ontario","230","FALSE","kapilnarwal"
"206","FALSE","FALSE","Toronto, Ontario","230","FALSE","kapilnarwal"
"207","FALSE","FALSE","Toronto, Ontario","230","FALSE","kapilnarwal"
"208","FALSE","FALSE","Midi-Pyrénées, France","367",NA,"Twitter for iPhone"
"209","FALSE","FALSE","Switzerland","992","FALSE","RTML"
"210","FALSE","FALSE","Switzerland","992","FALSE","RTML"
"211","FALSE","FALSE","Switzerland","992","FALSE","RTML"
"212","FALSE","FALSE","Switzerland","992","FALSE","RTML"
"213","FALSE","FALSE","Switzerland","992","TRUE","RTML"
"214","FALSE","FALSE","Switzerland","992","FALSE","RTML"
"215","FALSE","FALSE","Lagos, Nigeria","343","TRUE","Twitter Web App"
"216","FALSE","FALSE","Lagos, Nigeria","343","FALSE","Twitter Web App"
"217","FALSE","FALSE","Coventry, England","1613","FALSE","Twitter for iPhone"
"218","FALSE","FALSE","Tilburg, Netherlands","2726","FALSE","Twitter for Android"
"219","FALSE","FALSE","Zürich, Schweiz","1223","FALSE","Twitter for Android"
"220","FALSE","FALSE","Wirral","3448","FALSE","Santchi App"
"221","FALSE","FALSE","Canada","151","FALSE","Twitter for iPhone"
"222","FALSE","FALSE","","422","FALSE","Twitter for Android"
"223","FALSE","FALSE","Canada","1398","FALSE","Twitterrific for Mac"
"224","FALSE","FALSE","Singapore","151",NA,"Twitter Web Client"
"225","FALSE","FALSE","Bengaluru, India","677","FALSE","Twitter Web Client"
"226","FALSE","FALSE","Bengaluru, India","677","FALSE","Twitter Web Client"
"227","FALSE","FALSE","Seattle, WA","1245","FALSE","Twitter for iPad"
"228","FALSE","FALSE","Port Harcourt, Nigeria","452",NA,"Twitter for Android"
"229","FALSE","FALSE","","30","FALSE","Twitter for Android"
"230","FALSE","FALSE","Cornwall, UK","133","FALSE","Twitter Web App"
"231","FALSE","FALSE","Zaragoza, España","1458","FALSE","Twitter for iPhone"
"232","FALSE","FALSE","Zaragoza, España","1458","FALSE","Twitter for iPhone"
"233","FALSE","FALSE","Paris, France","462","FALSE","Twitter for Android"
"234","FALSE","FALSE","Melbourne, Victoria","2162","FALSE","Twitter for Android"
"235","FALSE","FALSE","London, England","12187","FALSE","Twitter for Android"
"236","FALSE","FALSE","HMO - CDMX","121",NA,"Twitter for Android"
"237","FALSE","FALSE","","83","FALSE","Twitter for iPhone"
"238","FALSE","FALSE","Ireland","1502",NA,"Missinglettr"
"239","FALSE","FALSE","The Netherlands","4215","FALSE","Twitter for iPhone"
"240","FALSE","FALSE","Sydney, New South Wales","316",NA,"Twitter Web Client"
"241","FALSE","FALSE","Sydney, New South Wales","469",NA,"Twitter Web Client"
"242","FALSE","FALSE","","295","FALSE","Twitter for iPad"
"243","FALSE","FALSE","","295","FALSE","Twitter for iPad"
"244","FALSE","FALSE","","295","FALSE","Twitter for iPad"
"245","FALSE","FALSE","","295","FALSE","Twitter for iPad"
"246","FALSE","FALSE","","295","FALSE","Twitter for iPad"
"247","FALSE","FALSE","","295","FALSE","Twitter for iPad"
"248","FALSE","FALSE","","295","FALSE","Twitter for iPad"
"249","FALSE","FALSE","Belgium","859","FALSE","Twitter for Android"
"250","FALSE","FALSE","Montréal, Québec","447","FALSE","TestAppRG1"
"251","FALSE","FALSE","Cambridge, MA","2526","FALSE","Twitter for iPhone"
"252","FALSE","FALSE","Bangalore","1407","FALSE","Twitter for iPhone"
"253","FALSE","FALSE","My own bubble of awesomeness","2344","FALSE","Twitter for Android"
"254","FALSE","FALSE","Scottsbluff, NE","99","FALSE","Twitter for Android"
"255","FALSE","FALSE","","247","FALSE","Twitter for Android"
"256","FALSE","FALSE","Bengal","21","FALSE","Twitter Web Client"
"257","FALSE","FALSE","Bengal","21","FALSE","Twitter Web Client"
"258","FALSE","FALSE","","39",NA,"Twitter Web Client"
"259","FALSE","FALSE","Berkeley, CA","430","FALSE","Twitter Web App"
"260","FALSE","FALSE","Sacramento, CA","6501","FALSE","aaroncuddeback.com"
"261","FALSE","FALSE","Sacramento, CA","6501","FALSE","aaroncuddeback.com"
"262","FALSE","FALSE","Sacramento, CA","6501","FALSE","aaroncuddeback.com"
"263","FALSE","FALSE","Sacramento, CA","6501","FALSE","aaroncuddeback.com"
"264","FALSE","FALSE","France <U+0001F1EA><U+0001F1FA><U+0001F1EE><U+0001F1EA><U+0001F1EB><U+0001F1F7>","1407","FALSE","Twitter for iPhone"
"265","FALSE","FALSE","Nairobi","187",NA,"Twitter for Android"
"266","FALSE","FALSE","Nairobi","187","FALSE","Twitter for Android"
"267","FALSE","FALSE","KEMRI-Wellcome Trust","44","FALSE","Twitter for Android"
"268","FALSE","FALSE","","8894","FALSE","Twitter for Android"
"269","FALSE","FALSE","","9","FALSE","Twitter for iPad"
"270","FALSE","FALSE","Madrid","279","FALSE","twitter-nodebot"
"271","FALSE","FALSE","Republic of Mauritius","1682","FALSE","testkushal"
"272","FALSE","FALSE","France","40452","TRUE","Twitter Web Client"
"273","FALSE","FALSE","France","40452","FALSE","Twitter Web Client"
"274","FALSE","FALSE","France","40452","FALSE","Twitter Web Client"
"275","FALSE","FALSE","France","40452","FALSE","Twitter Web Client"
"276","FALSE","FALSE","France","40452","FALSE","Twitter Web Client"
"277","FALSE","FALSE","France","40452","FALSE","Twitter Web Client"
"278","FALSE","FALSE","France","40452","FALSE","Twitter Web Client"
"279","FALSE","FALSE","France","40452","FALSE","Twitter Web Client"
"280","FALSE","FALSE","France","40452","TRUE","Twitter Web Client"
"281","FALSE","FALSE","France","40452","FALSE","Twitter Web Client"
"282","FALSE","FALSE","France","40452","FALSE","Twitter Web Client"
"283","FALSE","FALSE","France","40452","FALSE","Twitter Web Client"
"284","FALSE","FALSE","France","40452","FALSE","Twitter Web Client"
"285","FALSE","FALSE","","0","FALSE","Twitter Web Client"
"286","FALSE","FALSE","South Africa","80","FALSE","Twitter Web Client"
"287","FALSE","FALSE","Posadas, Argentina","8",NA,"Twitter Web Client"
"288","FALSE","FALSE","Posadas, Argentina","8",NA,"Twitter Web Client"
"289","FALSE","FALSE","Palmerston North, NZ","1199",NA,"Twitter for Android"
"290","FALSE","FALSE","Broad Street","629","FALSE","epi_twitter_bot"
"291","FALSE","FALSE","Budapest, Magyarország","5","FALSE","Twitter for Android"
"292","FALSE","FALSE","Jackson, Ms","87","FALSE","Twitter for Android"
"293","FALSE","FALSE","Utah, USA","262","FALSE","Twitter for iPhone"
"294","FALSE","FALSE","Working, Always","1185",NA,"Twitter for iPhone"
"295","FALSE","FALSE","California","529","FALSE","Twitter for iPhone"
"296","FALSE","FALSE","","146","FALSE","Twitter for Android"
"297","FALSE","FALSE","Lake Eppalock, Victoria","1688","TRUE","Twitter Web Client"
"298","FALSE","FALSE","Lake Eppalock, Victoria","1688","FALSE","Twitter Web Client"
"299","FALSE","FALSE","Lake Eppalock, Victoria","1688","FALSE","Twitter Web Client"
"300","FALSE","FALSE","Chicago, IL","188",NA,"Twitter for Android"
"301","FALSE","FALSE","","1184","FALSE","Twitter for Android"
"302","FALSE","FALSE","","1184","FALSE","Twitter for Android"
"303","FALSE","FALSE","Cold Spring Harbor, NY","2364","FALSE","Twitter for iPhone"
"304","FALSE","FALSE","","104","FALSE","Twitter Web App"
"305","FALSE","FALSE","Sheffield Hallam University UK","72","FALSE","Twitter for Android"
"306","FALSE","FALSE","Londoner in Dar es Salaam, Tz","4817","FALSE","Twitter for iPhone"
"307","FALSE","FALSE","Toowoomba, Queensland","1336",NA,"TweetDeck"
"308","FALSE","FALSE","Toowoomba, Queensland","1336","FALSE","Twitter for iPhone"
"309","FALSE","FALSE","Frederick, MD","223","FALSE","Twitter for Android"
"310","FALSE","FALSE","Frederick, MD","223","FALSE","Twitter for iPad"
"311","FALSE","FALSE","Ile-de-France, France","370","FALSE","Twitter for Android"
"312","FALSE","FALSE","Rome, Lazio","92","FALSE","CloudCoop"
"313","FALSE","FALSE","Rome, Lazio","92","FALSE","CloudCoop"
"314","FALSE","FALSE","Nancy, France","7532","FALSE","Twitter for Android"
"315","FALSE","FALSE","Nancy, France","7532","FALSE","Twitter for Android"
"316","FALSE","FALSE","UAE/Hyderabad, India","230","FALSE","Twitter for iPhone"
"317","FALSE","FALSE","","104","FALSE","Twitter for iPhone"
"318","FALSE","FALSE","México","55","FALSE","Twitter Web App"
"319","FALSE","FALSE","Seattle","223",NA,"Twitter for Android"
"320","FALSE","FALSE","","65508","TRUE","machine learn bot 10"
"321","FALSE","FALSE","","65508","TRUE","machine learn bot 10"
"322","FALSE","FALSE","","65508","TRUE","machine learn bot 10"
"323","FALSE","FALSE","","8107","FALSE","GGN_RPiTwitterFeed"
"324","FALSE","FALSE","","8107","FALSE","GGN_RPiTwitterFeed"
"325","FALSE","FALSE","Milano, Lombardia","3654",NA,"Twitter Web App"
"326","FALSE","FALSE","Asuncion, Paraguay","2628","FALSE","Twitter for iPhone"
"327","FALSE","FALSE","Asuncion, Paraguay","2628","FALSE","Twitter for iPhone"
"328","FALSE","FALSE","Asuncion, Paraguay","2628","FALSE","Twitter for iPhone"
"329","FALSE","FALSE","","168","FALSE","Twitter for iPhone"
"330","FALSE","FALSE","Penafiel","250","FALSE","Twitter for Android"
"331","FALSE","FALSE","Espoo, Finland","1513","FALSE","Twitter for iPhone"
"332","FALSE","FALSE","Australia","28",NA,"TweetDeck"
"333","FALSE","FALSE","Arlington, TX","55","FALSE","Show Finder"
"334","FALSE","FALSE","","76","FALSE","Twitter for iPad"
"335","FALSE","FALSE","","1621","TRUE","Twitter Web Client"
"336","FALSE","FALSE","Sydney, New South Wales","222","FALSE","Twitter Web Client"
"337","FALSE","FALSE","","84","FALSE","Twitter for Android"
"338","FALSE","FALSE","British Columbia, Canada","102",NA,"Twitter Web Client"
"339","FALSE","FALSE","British Columbia, Canada","102","FALSE","Twitter for iPhone"
"340","FALSE","FALSE","some where on earth.....","1562","TRUE","Twitter for Android"
"341","FALSE","FALSE","Ann Arbor, MI","1574","FALSE","Twitter Web Client"
"342","TRUE","FALSE","Booz Allen Hamilton","222348",NA,"Twitter for iPhone"
"343","TRUE","FALSE","Booz Allen Hamilton","222348",NA,"Twitter for iPhone"
"344","FALSE","FALSE","Virginia, USA","87","FALSE","Twitter for Android"
"345","FALSE","FALSE","","722","TRUE","Twitter Web Client"
"346","FALSE","FALSE","Florida","1454","FALSE","Enflux_bot"
